Date,RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch,Weight_kg_base
06/10/21,65,Str,male,55,7,4,0.237,EtOH,start,122,121,Model,4,0.055
06/10/21,66,Alc+Str,male,55,7,4,0.245,EtOH,start,119,122,Model,4,0.037
06/10/21,67,Alc,male,55,7,4,0.257,EtOH,start,120,121,Model,4,0.055
06/10/21,52,Str,female,55,8,4,0.158,EtOH,30_mins,122,118,Model,4,0
06/10/21,53,Alc,female,55,8,4,0.159,EtOH,30_mins,113,121,Model,4,0.006
06/10/21,54,Ctrl,female,55,8,4,0.187,EtOH,30_mins,121,123,Model,4,0.032
06/10/21,56,Alc,female,55,8,4,0.186,EtOH,30_mins,116,123,Model,4,0.025
06/10/21,57,Str,female,55,8,4,0.182,EtOH,30_mins,118,120,Model,4,0.019
06/10/21,58,Alc+Str,female,55,8,4,0.182,EtOH,30_mins,118,120,Model,4,0.028
06/10/21,59,Ctrl,female,55,8,4,0.174,EtOH,30_mins,120,124,Model,4,0.026
06/10/21,61,Alc,male,55,8,4,0.187,EtOH,30_mins,118,120,Model,4,0.01
06/10/21,62,Alc+Str,male,55,8,4,0.204,EtOH,30_mins,116,122,Model,4,0.049
06/10/21,63,Ctrl,male,55,8,4,0.238,EtOH,30_mins,119,122,Model,4,0.065
06/10/21,64,Ctrl,male,55,8,4,0.237,EtOH,30_mins,132,120,Model,4,0.046
06/10/21,65,Str,male,55,8,4,0.237,EtOH,30_mins,121,119,Model,4,0.055
06/10/21,66,Alc+Str,male,55,8,4,0.245,EtOH,30_mins,117,121,Model,4,0.037
06/10/21,67,Alc,male,55,8,4,0.257,EtOH,30_mins,118,120,Model,4,0.055
07/10/21,52,Str,female,55,8,4,0.158,EtOH,24_hrs,120,83,Model,4,0
07/10/21,53,Alc,female,55,8,4,0.159,EtOH,24_hrs,112,121,Model,4,0.006
07/10/21,54,Ctrl,female,55,8,4,0.187,EtOH,24_hrs,115,103,Model,4,0.032
07/10/21,56,Alc,female,55,8,4,0.186,EtOH,24_hrs,112,95,Model,4,0.025
07/10/21,57,Str,female,55,8,4,0.182,EtOH,24_hrs,91,116,Model,4,0.019
07/10/21,58,Alc+Str,female,55,8,4,0.182,EtOH,24_hrs,118,84,Model,4,0.028
07/10/21,59,Ctrl,female,55,8,4,0.174,EtOH,24_hrs,91,125,Model,4,0.026
07/10/21,61,Alc,male,55,8,4,0.187,EtOH,24_hrs,117,91,Model,4,0.01
07/10/21,62,Alc+Str,male,55,8,4,0.204,EtOH,24_hrs,114,91,Model,4,0.049
07/10/21,63,Ctrl,male,55,8,4,0.238,EtOH,24_hrs,104,102,Model,4,0.065
07/10/21,64,Ctrl,male,55,8,4,0.237,EtOH,24_hrs,95,118,Model,4,0.046
07/10/21,65,Str,male,55,8,4,0.237,EtOH,24_hrs,118,90,Model,4,0.055
07/10/21,66,Alc+Str,male,55,8,4,0.245,EtOH,24_hrs,110,98,Model,4,0.037
07/10/21,67,Alc,male,55,8,4,0.257,EtOH,24_hrs,111,93,Model,4,0.055
07/10/21,52,Str,female,56,9,4,0.174,H2O,start,122,122,Model,4,0.016
07/10/21,53,Alc,female,56,9,4,0.153,H2O,start,121,122,Model,4,0
07/10/21,54,Ctrl,female,56,9,4,0.188,H2O,start,122,122,Model,4,0.033
07/10/21,56,Alc,female,56,9,4,0.186,H2O,start,121,122,Model,4,0.025
07/10/21,57,Str,female,56,9,4,0.183,H2O,start,120,122,Model,4,0.02
07/10/21,58,Alc+Str,female,56,9,4,0.181,H2O,start,122,124,Model,4,0.027
07/10/21,59,Ctrl,female,56,9,4,0.172,H2O,start,121,123,Model,4,0.024
07/10/21,61,Alc,male,56,9,4,0.192,H2O,start,122,121,Model,4,0.015
07/10/21,62,Alc+Str,male,56,9,4,0.214,H2O,start,120,123,Model,4,0.059
07/10/21,63,Ctrl,male,56,9,4,0.241,H2O,start,121,122,Model,4,0.068
07/10/21,64,Ctrl,male,56,9,4,0.241,H2O,start,122,123,Model,4,0.05
07/10/21,65,Str,male,56,9,4,0.234,H2O,start,120,122,Model,4,0.052
07/10/21,66,Alc+Str,male,56,9,4,0.248,H2O,start,122,121,Model,4,0.04
07/10/21,67,Alc,male,56,9,4,0.265,H2O,start,122,121,Model,4,0.063
08/10/21,52,Str,female,56,9,4,0.174,H2O,24_hrs,102,113,Model,4,0.016
08/10/21,53,Alc,female,56,9,4,0.153,H2O,24_hrs,120,121,Model,4,0
08/10/21,54,Ctrl,female,56,9,4,0.188,H2O,24_hrs,113,96,Model,4,0.033
08/10/21,56,Alc,female,56,9,4,0.186,H2O,24_hrs,89,113,Model,4,0.025
08/10/21,57,Str,female,56,9,4,0.183,H2O,24_hrs,95,117,Model,4,0.02
08/10/21,58,Alc+Str,female,56,9,4,0.181,H2O,24_hrs,111,94,Model,4,0.027
08/10/21,59,Ctrl,female,56,9,4,0.172,H2O,24_hrs,107,103,Model,4,0.024
08/10/21,61,Alc,male,56,9,4,0.192,H2O,24_hrs,91,118,Model,4,0.015
08/10/21,62,Alc+Str,male,56,9,4,0.214,H2O,24_hrs,93,117,Model,4,0.059
08/10/21,63,Ctrl,male,56,9,4,0.241,H2O,24_hrs,86,120,Model,4,0.068
08/10/21,64,Ctrl,male,56,9,4,0.241,H2O,24_hrs,101,103,Model,4,0.05
08/10/21,65,Str,male,56,9,4,0.234,H2O,24_hrs,111,102,Model,4,0.052
08/10/21,66,Alc+Str,male,56,9,4,0.248,H2O,24_hrs,119,77,Model,4,0.04
08/10/21,67,Alc,male,56,9,4,0.265,H2O,24_hrs,77,111,Model,4,0.063
08/10/21,52,Str,female,57,9,5,0.177,EtOH,start,124,130,Model,4,0.019
08/10/21,53,Alc,female,57,9,5,0.148,EtOH,start,121,123,Model,4,-0.005
08/10/21,54,Ctrl,female,57,9,5,0.193,EtOH,start,120,124,Model,4,0.038
08/10/21,56,Alc,female,57,9,5,0.193,EtOH,start,121,123,Model,4,0.032
08/10/21,57,Str,female,57,9,5,0.192,EtOH,start,124,122,Model,4,0.029
08/10/21,58,Alc+Str,female,57,9,5,0.182,EtOH,start,121,122,Model,4,0.028
08/10/21,59,Ctrl,female,57,9,5,0.178,EtOH,start,121,123,Model,4,0.03
08/10/21,61,Alc,male,57,9,5,0.2,EtOH,start,119,124,Model,4,0.023
08/10/21,62,Alc+Str,male,57,9,5,0.214,EtOH,start,122,121,Model,4,0.059
08/10/21,63,Ctrl,male,57,9,5,0.254,EtOH,start,120,122,Model,4,0.081
08/10/21,64,Ctrl,male,57,9,5,0.251,EtOH,start,121,124,Model,4,0.06
08/10/21,65,Str,male,57,9,5,0.242,EtOH,start,121,122,Model,4,0.06
08/10/21,66,Alc+Str,male,57,9,5,0.256,EtOH,start,121,122,Model,4,0.048
08/10/21,67,Alc,male,57,9,5,0.273,EtOH,start,121,123,Model,4,0.071
08/10/21,52,Str,female,57,10,5,0.177,EtOH,30_mins,123,128,Model,4,0.019
08/10/21,53,Alc,female,57,10,5,0.148,EtOH,30_mins,116,123,Model,4,-0.005
08/10/21,54,Ctrl,female,57,10,5,0.193,EtOH,30_mins,119,123,Model,4,0.038
